,kieskringId,id,affid,firstname,initials,prefix,lastname,gender,gemeentenaam,gemeentecode,provincienaam,provinciecode
12329,13,25,3,Max,M.,,Aardema,male,Smallingerland,GM0090,Friesland,PV21
12330,13,26,3,Toon,A.J.A.,van,Dijk,male,Almere,GM0034,Flevoland,PV24
12331,13,27,3,Daniëlle,D.,de,Winter,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
12332,13,28,3,Ilse,I.A.,,Bezaan,female,Blaricum,GM0376,Noord-Holland,PV27
12333,13,29,3,Joyce,J.C.,,Kardol,female,Helmond,GM0794,Noord-Brabant,PV30
12334,13,30,3,Elmar,E.,,Vlottes,male,Apeldoorn,GM0200,Gelderland,PV25
12335,13,31,3,Rob,R.G.J.,de,Jong,male,Haarlem,GM0392,Noord-Holland,PV27
12336,13,32,3,An,J.,van,Pijkeren,female,Bunschoten,GM0313,Utrecht,PV26
12337,13,33,3,Jeffrey,J.J.,,Rijken,male,Rotterdam,GM0599,Zuid-Holland,PV28
12338,13,34,3,Han,H.,,IJssennagger,male,DeBilt,GM0310,Utrecht,PV26
12339,13,35,3,Henk,H.,van,Deún,male,Utrecht,GM0344,Utrecht,PV26
12340,13,36,3,Tim,T.F.,,Vermeer,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
12341,13,37,3,Olaf,O.S.J.,,Buitelaar,male,Almere,GM0034,Flevoland,PV24
12342,13,38,3,Tessa,T.F.,,Dulfer,female,Papendrecht,GM0590,Zuid-Holland,PV28
12343,13,39,3,Maikel,M.C.H.,,Boon,male,BergenopZoom,GM0748,Noord-Brabant,PV30
12344,13,40,3,Ed,E.G.T.,,Braam,male,Rijswijk,GM0603,Zuid-Holland,PV28
12345,13,41,3,Menno,M.S.,,Ludriks,male,Uithoorn,GM0451,Noord-Holland,PV27
12346,13,42,3,Nathalie,N.A.,,Choenni,female,Oosterhout,GM0826,Noord-Brabant,PV30
12347,13,43,3,Louis,L.A.G.,,Roks,male,Etten-Leur,GM0777,Noord-Brabant,PV30
12348,13,44,3,Folkert,F.M.,,Thiadens,male,Rotterdam,GM0599,Zuid-Holland,PV28
12349,13,45,3,Elias,E.P.G.,van,Hees,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
12350,13,46,3,Caroline,C.V.A.,,Kooman,female,Terneuzen,GM0715,Zeeland,PV29
12351,13,47,3,Dannij,D.J.,van der,Sluijs,male,Uitgeest,GM0450,Noord-Holland,PV27
12352,13,48,3,Alexander,A.W.J.A.,van,Hattem,male,Eersel,GM0770,Noord-Brabant,PV30
